Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
01/08/03,17h00,Lille,Lyon,1,0,H,1,0,H,,,,,,,,,,,,,
02/08/03,17h00,Auxerre,Nice,1,2,A,0,1,A,,,,,,,,,,,,,
02/08/03,19h00,Guingamp,Marseille,0,1,A,0,0,D,,,,,,,,,,,,,
02/08/03,19h00,Lens,Le Mans,0,0,D,0,0,D,,,,,,,,,,,,,
02/08/03,21h00,Metz,Ajaccio,0,1,A,0,1,A,,,,,,,,,,,,,
02/08/03,19h00,Monaco,Bordeaux,2,0,H,1,0,H,,,,,,,,,,,,,
02/08/03,21h00,Montpellier,Rennes,1,1,D,0,1,A,,,,,,,,,,,,,
02/08/03,21h00,Paris SG,Bastia,0,0,D,0,0,D,,,,,,,,,,,,,
02/08/03,17h00,Sochaux,Nantes,2,1,H,1,1,D,,,,,,,,,,,,,
02/08/03,21h00,Toulouse,Strasbourg,1,1,D,0,0,D,,,,,,,,,,,,,
08/08/03,21h00,Marseille,Auxerre,1,0,H,0,0,D,,,,,,,,,,,,,
09/08/03,21h00,Bastia,Metz,0,2,A,0,1,A,,,,,,,,,,,,,
09/08/03,17h00,Bordeaux,Montpellier,0,1,A,0,0,D,,,,,,,,,,,,,
09/08/03,21h00,Le Mans,Ajaccio,0,1,A,0,1,A,,,,,,,,,,,,,
09/08/03,21h00,Lille,Paris SG,1,0,H,1,0,H,,,,,,,,,,,,,
09/08/03,19h00,Lyon,Monaco,3,1,H,3,0,H,,,,,,,,,,,,,
09/08/03,21h00,Nantes,Lens,2,0,H,0,0,D,,,,,,,,,,,,,
09/08/03,19h00,Nice,Sochaux,1,0,H,0,0,D,,,,,,,,,,,,,
09/08/03,19h00,Rennes,Toulouse,1,0,H,1,0,H,,,,,,,,,,,,,
09/08/03,17h00,Strasbourg,Guingamp,2,0,H,1,0,H,,,,,,,,,,,,,
16/08/03,21h00,Ajaccio,Nantes,1,3,A,0,2,A,,,,,,,,,,,,,
16/08/03,21h00,Auxerre,Strasbourg,3,2,H,2,1,H,,,,,,,,,,,,,
16/08/03,17h00,Guingamp,Bordeaux,1,3,A,1,2,A,,,,,,,,,,,,,
16/08/03,21h00,Le Mans,Nice,1,1,D,1,1,D,,,,,,,,,,,,,
16/08/03,17h00,Metz,Paris SG,0,1,A,0,0,D,,,,,,,,,,,,,
16/08/03,19h00,Monaco,Bastia,2,0,H,2,0,H,,,,,,,,,,,,,
16/08/03,21h00,Montpellier,Lyon,0,2,A,0,2,A,,,,,,,,,,,,,
16/08/03,19h00,Sochaux,Rennes,1,1,D,0,0,D,,,,,,,,,,,,,
16/08/03,19h00,Toulouse,Lille,0,3,A,0,1,A,,,,,,,,,,,,,
17/08/03,17h00,Lens,Marseille,2,1,H,1,1,D,,,,,,,,,,,,,
23/08/03,21h00,Bastia,Montpellier,1,0,H,0,0,D,,,,,,,,,,,,,
23/08/03,21h00,Bordeaux,Auxerre,2,0,H,2,0,H,,,,,,,,,,,,,
23/08/03,21h00,Lille,Metz,1,1,D,0,1,A,,,,,,,,,,,,,
23/08/03,21h00,Lyon,Toulouse,0,0,D,0,0,D,,,,,,,,,,,,,
23/08/03,17h00,Marseille,Sochaux,2,0,H,1,0,H,,,,,,,,,,,,,
23/08/03,17h00,Nantes,Le Mans,1,0,H,0,0,D,,,,,,,,,,,,,
23/08/03,19h00,Nice,Ajaccio,2,2,D,1,1,D,,,,,,,,,,,,,
23/08/03,21h00,Rennes,Guingamp,0,0,D,0,0,D,,,,,,,,,,,,,
23/08/03,19h00,Strasbourg,Lens,0,1,A,0,1,A,,,,,,,,,,,,,
24/08/03,19h00,Paris SG,Monaco,2,4,A,1,2,A,,,,,,,,,,,,,
30/08/03,17h00,Auxerre,Rennes,2,1,H,1,0,H,,,,,,,,,,,,,
30/08/03,17h00,Guingamp,Lyon,2,0,H,2,0,H,,,,,,,,,,,,,
30/08/03,21h00,Le Mans,Strasbourg,0,3,A,0,1,A,,,,,,,,,,,,,
30/08/03,19h00,Montpellier,Paris SG,3,2,H,0,1,A,,,,,,,,,,,,,
30/08/03,17h00,Nantes,Bordeaux,0,0,D,0,0,D,,,,,,,,,,,,,
