Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
20/08/94,20h00,Arsenal,Man City,3,0,H,,,,,,,,,,,,,,,,
20/08/94,12h30,Chelsea,Norwich,2,0,H,,,,,,,,,,,,,,,,
20/08/94,12h30,Coventry,Wimbledon,1,1,D,,,,,,,,,,,,,,,,
20/08/94,15h00,Crystal Palace,Liverpool,1,6,A,,,,,,,,,,,,,,,,
20/08/94,20h00,Everton,Aston Villa,2,2,D,,,,,,,,,,,,,,,,
20/08/94,15h00,Ipswich,Nott'm Forest,0,1,A,,,,,,,,,,,,,,,,
20/08/94,20h00,Man United,QPR,2,0,H,,,,,,,,,,,,,,,,
20/08/94,20h00,Sheffield Weds,Tottenham,3,4,A,,,,,,,,,,,,,,,,
20/08/94,15h00,Southampton,Blackburn,1,1,D,,,,,,,,,,,,,,,,
20/08/94,15h00,West Ham,Leeds,0,0,D,,,,,,,,,,,,,,,,
21/08/94,15h00,Leicester,Newcastle,1,3,A,,,,,,,,,,,,,,,,
22/08/94,17h30,Nott'm Forest,Man United,1,1,D,,,,,,,,,,,,,,,,
23/08/94,20h00,Blackburn,Leicester,3,0,H,,,,,,,,,,,,,,,,
23/08/94,17h30,Leeds,Arsenal,1,0,H,,,,,,,,,,,,,,,,
23/08/94,15h00,Wimbledon,Ipswich,1,1,D,,,,,,,,,,,,,,,,
24/08/94,17h30,Aston Villa,Southampton,1,1,D,,,,,,,,,,,,,,,,
24/08/94,12h30,Man City,West Ham,3,0,H,,,,,,,,,,,,,,,,
24/08/94,20h00,Newcastle,Coventry,4,0,H,,,,,,,,,,,,,,,,
24/08/94,17h30,Norwich,Crystal Palace,0,0,D,,,,,,,,,,,,,,,,
24/08/94,20h00,QPR,Sheffield Weds,3,2,H,,,,,,,,,,,,,,,,
24/08/94,15h00,Tottenham,Everton,2,1,H,,,,,,,,,,,,,,,,
27/08/94,12h30,Aston Villa,Crystal Palace,1,1,D,,,,,,,,,,,,,,,,
27/08/94,20h00,Blackburn,Coventry,4,0,H,,,,,,,,,,,,,,,,
27/08/94,17h30,Leeds,Chelsea,2,3,A,,,,,,,,,,,,,,,,
27/08/94,15h00,Man City,Everton,4,0,H,,,,,,,,,,,,,,,,
27/08/94,12h30,Newcastle,Southampton,5,1,H,,,,,,,,,,,,,,,,
27/08/94,20h00,Norwich,West Ham,1,0,H,,,,,,,,,,,,,,,,
27/08/94,12h30,Nott'm Forest,Leicester,1,0,H,,,,,,,,,,,,,,,,
27/08/94,12h30,QPR,Ipswich,1,2,A,,,,,,,,,,,,,,,,
27/08/94,12h30,Tottenham,Man United,0,1,A,,,,,,,,,,,,,,,,
27/08/94,15h00,Wimbledon,Sheffield Weds,0,1,A,,,,,,,,,,,,,,,,
28/08/94,12h30,Liverpool,Arsenal,3,0,H,,,,,,,,,,,,,,,,
29/08/94,17h30,Coventry,Aston Villa,0,1,A,,,,,,,,,,,,,,,,
30/08/94,12h30,Crystal Palace,Leeds,1,2,A,,,,,,,,,,,,,,,,
30/08/94,17h30,Everton,Nott'm Forest,1,2,A,,,,,,,,,,,,,,,,
30/08/94,15h00,Ipswich,Tottenham,1,3,A,,,,,,,,,,,,,,,,
31/08/94,17h30,Arsenal,Blackburn,0,0,D,,,,,,,,,,,,,,,,
31/08/94,20h00,Chelsea,Man City,3,0,H,,,,,,,,,,,,,,,,
31/08/94,20h00,Leicester,QPR,1,1,D,,,,,,,,,,,,,,,,
31/08/94,12h30,Man United,Wimbledon,3,0,H,,,,,,,,,,,,,,,,
31/08/94,15h00,Sheffield Weds,Norwich,0,0,D,,,,,,,,,,,,,,,,
31/08/94,12h30,Southampton,Liverpool,0,2,A,,,,,,,,,,,,,,,,
31/08/94,20h00,West Ham,Newcastle,1,3,A,,,,,,,,,,,,,,,,
10/09/94,15h00,Aston Villa,Ipswich,2,0,H,,,,,,,,,,,,,,,,
10/09/94,17h30,Blackburn,Everton,3,0,H,,,,,,,,,,,,,,,,
10/09/94,15h00,Liverpool,West Ham,0,0,D,,,,,,,,,,,,,,,,
10/09/94,12h30,Man City,Crystal Palace,1,1,D,,,,,,,,,,,,,,,,
10/09/94,17h30,Newcastle,Chelsea,4,2,H,,,,,,,,,,,,,,,,
10/09/94,12h30,Norwich,Arsenal,0,0,D,,,,,,,,,,,,,,,,
10/09/94,15h00,Nott'm Forest,Sheffield Weds,4,1,H,,,,,,,,,,,,,,,,
10/09/94,12h30,QPR,Coventry,2,2,D,,,,,,,,,,,,,,,,
10/09/94,20h00,Wimbledon,Leicester,2,1,H,,,,,,,,,,,,,,,,
11/09/94,12h30,Leeds,Man United,2,1,H,,,,,,,,,,,,,,,,
12/09/94,15h00,Tottenham,Southampton,1,2,A,,,,,,,,,,,,,,,,
17/09/94,15h00,Coventry,Leeds,2,1,H,,,,,,,,,,,,,,,,
17/09/94,20h00,Crystal Palace,Wimbledon,0,0,D,,,,,,,,,,,,,,,,
17/09/94,20h00,Everton,QPR,2,2,D,,,,,,,,,,,,,,,,
17/09/94,20h00,Leicester,Tottenham,3,1,H,,,,,,,,,,,,,,,,
17/09/94,12h30,Man United,Liverpool,2,0,H,,,,,,,,,,,,,,,,
17/09/94,12h30,Sheffield Weds,Man City,1,1,D,,,,,,,,,,,,,,,,
17/09/94,17h30,Southampton,Nott'm Forest,1,1,D,,,,,,,,,,,,,,,,
17/09/94,20h00,West Ham,Aston Villa,1,0,H,,,,,,,,,,,,,,,,
18/09/94,17h30,Arsenal,Newcastle,2,3,A,,,,,,,,,,,,,,,,
18/09/94,17h30,Chelsea,Blackburn,1,2,A,,,,,,,,,,,,,,,,
19/09/94,20h00,Ipswich,Norwich,1,2,A,,,,,,,,,,,,,,,,
24/09/94,17h30,Blackburn,Aston Villa,3,1,H,,,,,,,,,,,,,,,,
24/09/94,17h30,Coventry,Southampton,1,3,A,,,,,,,,,,,,,,,,
24/09/94,12h30,Crystal Palace,Chelsea,0,1,A,,,,,,,,,,,,,,,,
24/09/94,15h00,Everton,Leicester,1,1,D,,,,,,,,,,,,,,,,
24/09/94,20h00,Ipswich,Man United,3,2,H,,,,,,,,,,,,,,,,
24/09/94,12h30,Man City,Norwich,2,0,H,,,,,,,,,,,,,,,,
24/09/94,20h00,Newcastle,Liverpool,1,1,D,,,,,,,,,,,,,,,,
24/09/94,20h00,QPR,Wimbledon,0,1,A,,,,,,,,,,,,,,,,
24/09/94,20h00,Tottenham,Nott'm Forest,1,4,A,,,,,,,,,,,,,,,,
25/09/94,17h30,West Ham,Arsenal,0,2,A,,,,,,,,,,,,,,,,
26/09/94,17h30,Sheffield Weds,Leeds,1,1,D,,,,,,,,,,,,,,,,
01/10/94,20h00,Arsenal,Crystal Palace,1,2,A,,,,,,,,,,,,,,,,
01/10/94,12h30,Aston Villa,Newcastle,0,2,A,,,,,,,,,,,,,,,,
01/10/94,12h30,Leeds,Man City,2,0,H,,,,,,,,,,,,,,,,
01/10/94,12h30,Liverpool,Sheffield Weds,4,1,H,,,,,,,,,,,,,,,,
01/10/94,12h30,Man United,Everton,2,0,H,,,,,,,,,,,,,,,,
01/10/94,12h30,Norwich,Blackburn,2,1,H,,,,,,,,,,,,,,,,
01/10/94,17h30,Southampton,Ipswich,3,1,H,,,,,,,,,,,,,,,,
01/10/94,12h30,Wimbledon,Tottenham,1,2,A,,,,,,,,,,,,,,,,
02/10/94,12h30,Chelsea,West Ham,1,2,A,,,,,,,,,,,,,,,,
02/10/94,15h00,Nott'm Forest,QPR,3,2,H,,,,,,,,,,,,,,,,
03/10/94,17h30,Leicester,Coventry,2,2,D,,,,,,,,,,,,,,,,
08/10/94,17h30,Chelsea,Leicester,4,0,H,,,,,,,,,,,,,,,,
08/10/94,20h00,Liverpool,Aston Villa,3,2,H,,,,,,,,,,,,,,,,
08/10/94,17h30,Man City,Nott'm Forest,3,3,D,,,,,,,,,,,,,,,,
08/10/94,15h00,Norwich,Leeds,2,1,H,,,,,,,,,,,,,,,,
08/10/94,20h00,Sheffield Weds,Man United,1,0,H,,,,,,,,,,,,,,,,
08/10/94,12h30,Southampton,Everton,2,0,H,,,,,,,,,,,,,,,,
08/10/94,12h30,Tottenham,QPR,1,1,D,,,,,,,,,,,,,,,,
08/10/94,15h00,West Ham,Crystal Palace,1,0,H,,,,,,,,,,,,,,,,
08/10/94,20h00,Wimbledon,Arsenal,1,3,A,,,,,,,,,,,,,,,,
09/10/94,12h30,Newcastle,Blackburn,1,1,D,,,,,,,,,,,,,,,,
10/10/94,17h30,Coventry,Ipswich,2,0,H,,,,,,,,,,,,,,,,
15/10/94,12h30,Arsenal,Chelsea,3,1,H,,,,,,,,,,,,,,,,
15/10/94,20h00,Aston Villa,Norwich,1,1,D,,,,,,,,,,,,,,,,
15/10/94,15h00,Blackburn,Liverpool,3,2,H,,,,,,,,,,,,,,,,
15/10/94,17h30,Crystal Palace,Newcastle,0,1,A,,,,,,,,,,,,,,,,
15/10/94,12h30,Everton,Coventry,0,2,A,,,,,,,,,,,,,,,,
15/10/94,15h00,Leeds,Tottenham,1,1,D,,,,,,,,,,,,,,,,
15/10/94,17h30,Leicester,Southampton,4,3,H,,,,,,,,,,,,,,,,
15/10/94,15h00,Man United,West Ham,1,0,H,,,,,,,,,,,,,,,,
15/10/94,15h00,QPR,Man City,1,2,A,,,,,,,,,,,,,,,,
16/10/94,17h30,Ipswich,Sheffield Weds,1,2,A,,,,,,,,,,,,,,,,
17/10/94,15h00,Nott'm Forest,Wimbledon,3,1,H,,,,,,,,,,,,,,,,
22/10/94,20h00,Aston Villa,Nott'm Forest,0,2,A,,,,,,,,,,,,,,,,
22/10/94,15h00,Crystal Palace,Everton,1,0,H,,,,,,,,,,,,,,,,
22/10/94,15h00,Liverpool,Wimbledon,3,0,H,,,,,,,,,,,,,,,,
22/10/94,20h00,Man City,Tottenham,5,2,H,,,,,,,,,,,,,,,,
22/10/94,15h00,Newcastle,Sheffield Weds,2,1,H,,,,,,,,,,,,,,,,
22/10/94,15h00,Norwich,QPR,4,2,H,,,,,,,,,,,,,,,,
22/10/94,15h00,West Ham,Southampton,2,0,H,,,,,,,,,,,,,,,,
23/10/94,12h30,Arsenal,Coventry,2,1,H,,,,,,,,,,,,,,,,
23/10/94,17h30,Blackburn,Man United,2,4,A,,,,,,,,,,,,,,,,
23/10/94,12h30,Chelsea,Ipswich,2,0,H,,,,,,,,,,,,,,,,
24/10/94,15h00,Leeds,Leicester,2,1,H,,,,,,,,,,,,,,,,
29/10/94,20h00,Coventry,Man City,1,0,H,,,,,,,,,,,,,,,,
29/10/94,12h30,Everton,Arsenal,1,1,D,,,,,,,,,,,,,,,,
29/10/94,12h30,Ipswich,Liverpool,1,3,A,,,,,,,,,,,,,,,,
29/10/94,12h30,Leicester,Crystal Palace,0,1,A,,,,,,,,,,,,,,,,
29/10/94,17h30,Man United,Newcastle,2,0,H,,,,,,,,,,,,,,,,
29/10/94,20h00,Nott'm Forest,Blackburn,0,2,A,,,,,,,,,,,,,,,,
29/10/94,12h30,QPR,Aston Villa,2,0,H,,,,,,,,,,,,,,,,
29/10/94,12h30,Sheffield Weds,Chelsea,1,1,D,,,,,,,,,,,,,,,,
29/10/94,20h00,Southampton,Leeds,1,3,A,,,,,,,,,,,,,,,,
29/10/94,15h00,Tottenham,West Ham,3,1,H,,,,,,,,,,,,,,,,
30/10/94,12h30,Wimbledon,Norwich,1,0,H,,,,,,,,,,,,,,,,
31/10/94,20h00,QPR,Liverpool,2,1,H,,,,,,,,,,,,,,,,
01/11/94,12h30,Everton,West Ham,1,0,H,,,,,,,,,,,,,,,,
01/11/94,12h30,Ipswich,Leeds,2,0,H,,,,,,,,,,,,,,,,
02/11/94,20h00,Coventry,Crystal Palace,1,4,A,,,,,,,,,,,,,,,,
02/11/94,15h00,Sheffield Weds,Blackburn,0,1,A,,,,,,,,,,,,,,,,
02/11/94,12h30,Southampton,Norwich,1,1,D,,,,,,,,,,,,,,,,
05/11/94,17h30,Blackburn,Tottenham,2,0,H,,,,,,,,,,,,,,,,
05/11/94,15h00,Crystal Palace,Ipswich,3,0,H,,,,,,,,,,,,,,,,
05/11/94,12h30,Leeds,Wimbledon,3,1,H,,,,,,,,,,,,,,,,
05/11/94,17h30,Liverpool,Nott'm Forest,1,0,H,,,,,,,,,,,,,,,,
05/11/94,15h00,Man City,Southampton,3,3,D,,,,,,,,,,,,,,,,
05/11/94,12h30,Newcastle,QPR,2,1,H,,,,,,,,,,,,,,,,
05/11/94,20h00,Norwich,Everton,0,0,D,,,,,,,,,,,,,,,,
05/11/94,20h00,West Ham,Leicester,1,0,H,,,,,,,,,,,,,,,,
06/11/94,15h00,Arsenal,Sheffield Weds,0,0,D,,,,,,,,,,,,,,,,
06/11/94,15h00,Aston Villa,Man United,1,2,A,,,,,,,,,,,,,,,,
06/11/94,20h00,Chelsea,Coventry,2,2,D,,,,,,,,,,,,,,,,
07/11/94,15h00,Nott'm Forest,Newcastle,0,0,D,,,,,,,,,,,,,,,,
09/11/94,15h00,Liverpool,Chelsea,3,1,H,,,,,,,,,,,,,,,,
09/11/94,12h30,Wimbledon,Aston Villa,4,3,H,,,,,,,,,,,,,,,,
10/11/94,20h00,Man United,Man City,5,0,H,,,,,,,,,,,,,,,,
19/11/94,15h00,Coventry,Norwich,1,0,H,,,,,,,,,,,,,,,,
19/11/94,15h00,Ipswich,Blackburn,1,3,A,,,,,,,,,,,,,,,,
19/11/94,12h30,Man United,Crystal Palace,3,0,H,,,,,,,,,,,,,,,,
19/11/94,15h00,Nott'm Forest,Chelsea,0,1,A,,,,,,,,,,,,,,,,
19/11/94,15h00,QPR,Leeds,3,2,H,,,,,,,,,,,,,,,,
19/11/94,20h00,Sheffield Weds,West Ham,1,0,H,,,,,,,,,,,,,,,,
19/11/94,17h30,Southampton,Arsenal,1,0,H,,,,,,,,,,,,,,,,
19/11/94,17h30,Tottenham,Aston Villa,3,4,A,,,,,,,,,,,,,,,,
19/11/94,20h00,Wimbledon,Newcastle,3,2,H,,,,,,,,,,,,,,,,
20/11/94,17h30,Leicester,Man City,0,1,A,,,,,,,,,,,,,,,,
21/11/94,15h00,Everton,Liverpool,2,0,H,,,,,,,,,,,,,,,,
