Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
14/08/93,17h30,Arsenal,Coventry,0,3,A,,,,,,,,,,,,,,,,
14/08/93,15h00,Aston Villa,QPR,4,1,H,,,,,,,,,,,,,,,,
14/08/93,20h00,Chelsea,Blackburn,1,2,A,,,,,,,,,,,,,,,,
14/08/93,12h30,Liverpool,Sheffield Weds,2,0,H,,,,,,,,,,,,,,,,
14/08/93,15h00,Man City,Leeds,1,1,D,,,,,,,,,,,,,,,,
14/08/93,12h30,Newcastle,Tottenham,0,1,A,,,,,,,,,,,,,,,,
14/08/93,15h00,Oldham,Ipswich,0,3,A,,,,,,,,,,,,,,,,
14/08/93,12h30,Sheffield United,Swindon,3,1,H,,,,,,,,,,,,,,,,
14/08/93,20h00,Southampton,Everton,0,2,A,,,,,,,,,,,,,,,,
14/08/93,17h30,West Ham,Wimbledon,0,2,A,,,,,,,,,,,,,,,,
15/08/93,15h00,Norwich,Man United,0,2,A,,,,,,,,,,,,,,,,
16/08/93,20h00,Tottenham,Arsenal,0,1,A,,,,,,,,,,,,,,,,
17/08/93,20h00,Everton,Man City,1,0,H,,,,,,,,,,,,,,,,
17/08/93,17h30,Ipswich,Southampton,1,0,H,,,,,,,,,,,,,,,,
17/08/93,15h00,Leeds,West Ham,1,0,H,,,,,,,,,,,,,,,,
17/08/93,17h30,Wimbledon,Chelsea,1,1,D,,,,,,,,,,,,,,,,
18/08/93,15h00,Blackburn,Norwich,2,3,A,,,,,,,,,,,,,,,,
18/08/93,20h00,Coventry,Newcastle,2,1,H,,,,,,,,,,,,,,,,
18/08/93,20h00,Man United,Sheffield United,3,0,H,,,,,,,,,,,,,,,,
18/08/93,20h00,QPR,Liverpool,1,3,A,,,,,,,,,,,,,,,,
18/08/93,17h30,Sheffield Weds,Aston Villa,0,0,D,,,,,,,,,,,,,,,,
18/08/93,12h30,Swindon,Oldham,0,1,A,,,,,,,,,,,,,,,,
21/08/93,20h00,Blackburn,Oldham,1,0,H,,,,,,,,,,,,,,,,
21/08/93,12h30,Coventry,West Ham,1,1,D,,,,,,,,,,,,,,,,
21/08/93,20h00,Everton,Sheffield United,4,2,H,,,,,,,,,,,,,,,,
21/08/93,17h30,Ipswich,Chelsea,1,0,H,,,,,,,,,,,,,,,,
21/08/93,20h00,Leeds,Norwich,0,4,A,,,,,,,,,,,,,,,,
