Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
17/08/96,20h00,Arsenal,West Ham,2,0,H,2,0,H,,,,,,,,,,,,,
17/08/96,17h30,Blackburn,Tottenham,0,2,A,0,1,A,,,,,,,,,,,,,
17/08/96,15h00,Coventry,Nott'm Forest,0,3,A,0,2,A,,,,,,,,,,,,,
17/08/96,12h30,Derby,Leeds,3,3,D,0,1,A,,,,,,,,,,,,,
17/08/96,17h30,Everton,Newcastle,2,0,H,2,0,H,,,,,,,,,,,,,
17/08/96,12h30,Middlesbrough,Liverpool,3,3,D,2,2,D,,,,,,,,,,,,,
17/08/96,15h00,Sheffield Weds,Aston Villa,2,1,H,0,0,D,,,,,,,,,,,,,
17/08/96,20h00,Sunderland,Leicester,0,0,D,0,0,D,,,,,,,,,,,,,
17/08/96,20h00,Wimbledon,Man United,0,3,A,0,1,A,,,,,,,,,,,,,
18/08/96,20h00,Southampton,Chelsea,0,0,D,0,0,D,,,,,,,,,,,,,
19/08/96,20h00,Liverpool,Arsenal,2,0,H,0,0,D,,,,,,,,,,,,,
20/08/96,20h00,Leeds,Sheffield Weds,0,2,A,0,1,A,,,,,,,,,,,,,
21/08/96,12h30,Aston Villa,Blackburn,1,0,H,0,0,D,,,,,,,,,,,,,
21/08/96,17h30,Chelsea,Middlesbrough,1,0,H,0,0,D,,,,,,,,,,,,,
21/08/96,15h00,Leicester,Southampton,2,1,H,2,0,H,,,,,,,,,,,,,
21/08/96,20h00,Man United,Everton,2,2,D,0,2,A,,,,,,,,,,,,,
21/08/96,12h30,Newcastle,Wimbledon,2,0,H,1,0,H,,,,,,,,,,,,,
21/08/96,20h00,Nott'm Forest,Sunderland,1,4,A,1,4,A,,,,,,,,,,,,,
21/08/96,12h30,Tottenham,Derby,1,1,D,1,0,H,,,,,,,,,,,,,
21/08/96,12h30,West Ham,Coventry,1,1,D,0,1,A,,,,,,,,,,,,,
24/08/96,17h30,Aston Villa,Derby,2,0,H,1,0,H,,,,,,,,,,,,,
24/08/96,12h30,Chelsea,Coventry,2,0,H,1,0,H,,,,,,,,,,,,,
24/08/96,20h00,Leicester,Arsenal,0,2,A,0,1,A,,,,,,,,,,,,,
24/08/96,12h30,Liverpool,Sunderland,0,0,D,0,0,D,,,,,,,,,,,,,
24/08/96,17h30,Newcastle,Sheffield Weds,1,2,A,1,1,D,,,,,,,,,,,,,
24/08/96,15h00,Nott'm Forest,Middlesbrough,1,1,D,0,0,D,,,,,,,,,,,,,
24/08/96,20h00,Tottenham,Everton,0,0,D,0,0,D,,,,,,,,,,,,,
24/08/96,17h30,West Ham,Southampton,2,1,H,0,1,A,,,,,,,,,,,,,
25/08/96,17h30,Man United,Blackburn,2,2,D,1,1,D,,,,,,,,,,,,,
26/08/96,20h00,Leeds,Wimbledon,1,0,H,0,0,D,,,,,,,,,,,,,
02/09/96,17h30,Sheffield Weds,Leicester,2,1,H,1,1,D,,,,,,,,,,,,,
04/09/96,15h00,Arsenal,Chelsea,3,3,D,1,2,A,,,,,,,,,,,,,
04/09/96,15h00,Blackburn,Leeds,0,1,A,0,1,A,,,,,,,,,,,,,
04/09/96,17h30,Coventry,Liverpool,0,1,A,0,0,D,,,,,,,,,,,,,
04/09/96,15h00,Derby,Man United,1,1,D,1,1,D,,,,,,,,,,,,,
04/09/96,20h00,Everton,Aston Villa,0,1,A,0,0,D,,,,,,,,,,,,,
04/09/96,17h30,Middlesbrough,West Ham,4,1,H,2,0,H,,,,,,,,,,,,,
04/09/96,17h30,Southampton,Nott'm Forest,2,2,D,0,2,A,,,,,,,,,,,,,
04/09/96,15h00,Sunderland,Newcastle,1,2,A,1,0,H,,,,,,,,,,,,,
04/09/96,20h00,Wimbledon,Tottenham,1,0,H,1,0,H,,,,,,,,,,,,,
