Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
19/08/16,21h00,La Coruna,Eibar,2,1,H,0,0,D,,11,12,6,6,14,17,1,8,3,3,0,0
19/08/16,18h30,Malaga,Osasuna,1,1,D,0,0,D,,14,8,4,3,11,22,5,3,2,3,0,0
20/08/16,16h00,Barcelona,Betis,6,2,H,3,1,H,,30,6,12,2,17,13,10,2,1,3,0,0
20/08/16,16h00,Granada,Villarreal,1,1,D,0,0,D,,7,12,1,3,17,11,7,3,2,3,0,0
20/08/16,18h30,Sevilla,Espanol,6,4,H,3,3,D,,16,10,11,7,8,15,8,2,2,2,0,0
21/08/16,21h00,Ath Madrid,Alaves,1,1,D,0,0,D,,27,2,6,1,7,15,20,2,0,4,0,0
21/08/16,18h30,Sociedad,Real Madrid,0,3,A,0,2,A,,8,18,0,8,22,11,4,7,2,3,0,0
21/08/16,21h00,Sp Gijon,Ath Bilbao,2,1,H,0,0,D,,12,13,4,4,18,15,2,5,3,3,0,0
22/08/16,21h00,Celta,Leganes,0,1,A,0,0,D,,10,15,2,6,5,13,8,4,4,1,0,1
22/08/16,18h30,Valencia,Las Palmas,2,4,A,2,3,A,,17,6,8,4,15,18,12,1,2,2,0,0
26/08/16,21h00,Betis,La Coruna,0,0,D,0,0,D,,15,12,5,1,20,15,13,2,0,2,0,0
26/08/16,16h00,Espanol,Malaga,2,2,D,1,0,H,,7,9,2,3,20,17,3,4,2,4,0,0
27/08/16,21h00,Eibar,Valencia,1,0,H,0,0,D,,13,13,6,3,13,11,6,10,2,2,0,0
27/08/16,18h30,Leganes,Ath Madrid,0,0,D,0,0,D,,6,10,1,3,19,5,1,8,3,1,0,0
27/08/16,18h30,Osasuna,Sociedad,0,2,A,0,1,A,,8,5,3,4,14,14,10,1,2,1,0,0
27/08/16,18h30,Real Madrid,Celta,2,1,H,0,0,D,,24,8,10,3,8,11,7,2,0,2,0,0
28/08/16,21h00,Alaves,Sp Gijon,0,0,D,0,0,D,,13,7,2,1,10,12,4,6,1,1,0,0
28/08/16,16h00,Ath Bilbao,Barcelona,0,1,A,0,1,A,,9,12,4,3,20,13,4,4,5,4,0,0
28/08/16,21h00,Las Palmas,Granada,5,1,H,1,1,D,,15,13,10,2,8,16,6,4,5,1,0,0
28/08/16,18h30,Villarreal,Sevilla,0,0,D,0,0,D,,12,6,5,0,16,12,5,1,1,3,0,0
09/09/16,16h00,Sociedad,Espanol,1,1,D,0,0,D,,9,4,3,1,10,10,11,1,2,2,0,1
10/09/16,18h30,Barcelona,Alaves,1,2,A,0,1,A,,16,5,2,4,12,12,13,0,1,1,0,0
10/09/16,16h00,Celta,Ath Madrid,0,4,A,0,0,D,,9,13,1,6,13,12,6,4,1,2,0,0
10/09/16,21h00,Malaga,Villarreal,0,2,A,0,2,A,,15,12,2,6,8,14,9,7,2,1,0,0
10/09/16,16h00,Real Madrid,Osasuna,5,2,H,3,0,H,,25,10,11,3,14,14,6,7,2,2,0,1
10/09/16,16h00,Sevilla,Las Palmas,2,1,H,0,1,A,,16,7,7,4,15,13,10,1,2,4,0,1
11/09/16,21h00,Granada,Eibar,1,2,A,0,1,A,,15,10,5,8,7,8,6,7,2,0,0,1
11/09/16,18h30,La Coruna,Ath Bilbao,0,1,A,0,1,A,,16,7,3,2,15,15,7,6,2,3,0,0
11/09/16,18h30,Sp Gijon,Leganes,2,1,H,2,0,H,,7,9,4,2,12,16,3,5,0,2,0,0
11/09/16,18h30,Valencia,Betis,2,3,A,0,1,A,,23,12,9,5,15,21,5,5,2,4,1,0
16/09/16,18h30,Betis,Granada,2,2,D,1,2,A,,23,15,7,8,13,17,7,3,4,3,1,1
17/09/16,21h00,Ath Madrid,Sp Gijon,5,0,H,3,0,H,,18,10,7,1,14,9,1,4,0,2,0,0
17/09/16,21h00,Eibar,Sevilla,1,1,D,0,1,A,,10,8,2,4,19,10,4,2,1,1,2,0
17/09/16,21h00,Las Palmas,Malaga,1,0,H,1,0,H,,6,10,2,2,11,18,2,2,3,1,0,0
17/09/16,16h00,Leganes,Barcelona,1,5,A,0,3,A,,15,10,6,7,28,7,2,5,4,2,0,0
18/09/16,16h00,Ath Bilbao,Valencia,2,1,H,2,1,H,,13,10,4,2,19,20,7,1,4,4,0,0
18/09/16,21h00,Espanol,Real Madrid,0,2,A,0,1,A,,11,13,2,7,19,8,4,5,4,2,0,0
18/09/16,18h30,Osasuna,Celta,0,0,D,0,0,D,,9,13,2,5,18,13,3,5,4,1,0,0
