Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
19/08/94,17h30,Leverkusen,Kaiserslautern,0,1,A,,,,,,,,,,,,,,,,
19/08/94,14h30,Schalke 04,M'gladbach,1,1,D,,,,,,,,,,,,,,,,
19/08/94,19h30,Stuttgart,Hamburg,2,1,H,,,,,,,,,,,,,,,,
20/08/94,17h30,Bayern Munich,Bochum,3,1,H,,,,,,,,,,,,,,,,
20/08/94,19h30,Dortmund,Munich 1860,4,0,H,,,,,,,,,,,,,,,,
20/08/94,19h30,Dresden,Werder Bremen,1,1,D,,,,,,,,,,,,,,,,
20/08/94,17h30,Ein Frankfurt,FC Koln,0,0,D,,,,,,,,,,,,,,,,
20/08/94,14h30,Karlsruhe,Freiburg,2,0,H,,,,,,,,,,,,,,,,
20/08/94,14h30,Uerdingen,Duisburg,1,1,D,,,,,,,,,,,,,,,,
23/08/94,19h30,Bochum,Dresden,2,0,H,,,,,,,,,,,,,,,,
23/08/94,19h30,FC Koln,Dortmund,1,6,A,,,,,,,,,,,,,,,,
23/08/94,17h30,Freiburg,Bayern Munich,5,1,H,,,,,,,,,,,,,,,,
23/08/94,14h30,Kaiserslautern,Ein Frankfurt,1,1,D,,,,,,,,,,,,,,,,
23/08/94,19h30,Munich 1860,Stuttgart,0,2,A,,,,,,,,,,,,,,,,
24/08/94,19h30,Duisburg,Schalke 04,2,2,D,,,,,,,,,,,,,,,,
24/08/94,17h30,Hamburg,Uerdingen,0,0,D,,,,,,,,,,,,,,,,
24/08/94,14h30,M'gladbach,Karlsruhe,2,2,D,,,,,,,,,,,,,,,,
24/08/94,14h30,Werder Bremen,Leverkusen,3,2,H,,,,,,,,,,,,,,,,
26/08/94,14h30,Dortmund,Kaiserslautern,2,1,H,,,,,,,,,,,,,,,,
26/08/94,17h30,Dresden,Freiburg,1,3,A,,,,,,,,,,,,,,,,
27/08/94,17h30,Bayern Munich,M'gladbach,3,0,H,,,,,,,,,,,,,,,,
27/08/94,14h30,Karlsruhe,Duisburg,4,1,H,,,,,,,,,,,,,,,,
27/08/94,14h30,Schalke 04,Hamburg,0,1,A,,,,,,,,,,,,,,,,
27/08/94,19h30,Stuttgart,FC Koln,2,2,D,,,,,,,,,,,,,,,,
27/08/94,17h30,Uerdingen,Munich 1860,1,1,D,,,,,,,,,,,,,,,,
27/08/94,14h30,Werder Bremen,Bochum,3,0,H,,,,,,,,,,,,,,,,
28/08/94,19h30,Leverkusen,Ein Frankfurt,4,0,H,,,,,,,,,,,,,,,,
02/09/94,19h30,Duisburg,Bayern Munich,0,3,A,,,,,,,,,,,,,,,,
02/09/94,17h30,Freiburg,Werder Bremen,1,3,A,,,,,,,,,,,,,,,,
02/09/94,19h30,M'gladbach,Dresden,2,0,H,,,,,,,,,,,,,,,,
03/09/94,17h30,Bochum,Leverkusen,1,3,A,,,,,,,,,,,,,,,,
03/09/94,19h30,Ein Frankfurt,Dortmund,4,1,H,,,,,,,,,,,,,,,,
03/09/94,19h30,FC Koln,Uerdingen,2,0,H,,,,,,,,,,,,,,,,
03/09/94,17h30,Hamburg,Karlsruhe,3,1,H,,,,,,,,,,,,,,,,
03/09/94,19h30,Kaiserslautern,Stuttgart,3,2,H,,,,,,,,,,,,,,,,
03/09/94,19h30,Munich 1860,Schalke 04,0,1,A,,,,,,,,,,,,,,,,
17/09/94,14h30,Bayern Munich,Hamburg,1,1,D,,,,,,,,,,,,,,,,
17/09/94,14h30,Bochum,Freiburg,1,3,A,,,,,,,,,,,,,,,,
17/09/94,19h30,Dresden,Duisburg,4,2,H,,,,,,,,,,,,,,,,
